Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	398340
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398360
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398380
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398400
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398420
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398440
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398460
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398480
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398500
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398520
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	398540
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398560
glove	1	0	0	0	0	0	3676	3914	4065	3723	3660	398580
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398600
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398620
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398640
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398660
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398680
glove	1	0	0	0	0	0	3676	3915	4065	3723	3660	398700
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398720
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398740
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398760
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398780
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398800
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398820
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398840
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398860
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398880
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398900
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398920
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398940
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398960
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398980
glove	1	0	0	0	0	0	3676	3914	4065	3723	3660	399000
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399020
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399040
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399060
glove	1	0	0	0	0	0	3677	3915	4065	3722	3660	399080
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	399100
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399120
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399141
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399161
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399181
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399201
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399221
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399241
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399261
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399281
glove	1	0	0	0	0	0	3676	3914	4065	3723	3659	399301
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399321
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399341
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399361
glove	1	0	0	0	0	0	3677	3915	4065	3722	3660	399381
glove	1	0	0	0	0	0	3676	3915	4065	3723	3660	399401
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399421
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399441
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399461
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399481
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399501
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399521
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399541
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	399561
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399581
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399601
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399621
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399641
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399661
scan	49	0	0	0	0	0	0	0	0	0	0	399678
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399681
glove	1	0	0	0	0	0	3677	3915	4065	3722	3660	399701
glove	1	0	0	0	0	0	3676	3915	4065	3723	3660	399721
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399741
glove	1	0	0	0	0	0	3676	3915	4065	3723	3660	399761
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399781
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	399801
glove	1	0	0	0	0	0	3677	3915	4065	3723	3660	399821
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399841
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399861
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399881
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	399901
glove	1	0	0	0	0	0	3676	3915	4065	3723	3660	399921
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399941
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	399961
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	399981
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	400001
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	400021
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	400041
